city,country,climate,longitude,latitude,temperature_celsius,date,date_str,timestamp
Dammam,Saudi Arabia,Hot Desert - Coastal,50.181015059543554,26.249009009009008,33.77000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.19104581892366,26.249009009009008,34.110000000000014,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.20107657830377,26.249009009009008,34.110000000000014,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.21110733768388,26.249009009009008,30.370000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.221138097063985,26.249009009009008,30.07000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.85,26.258018018018017,31.890000000000043,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.86003075938011,26.258018018018017,31.930000000000007,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.87006151876022,26.258018018018017,31.950000000000045,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.880092278140324,26.258018018018017,31.930000000000007,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.89012303752043,26.258018018018017,32.190000000000055,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.90015379690054,26.258018018018017,32.27000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.91018455628065,26.258018018018017,32.27000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.920215315660755,26.258018018018017,33.51000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.93024607504086,26.258018018018017,33.650000000000034,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.94027683442097,26.258018018018017,33.710000000000036,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.95030759380108,26.258018018018017,35.01000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.960338353181186,26.258018018018017,35.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.97036911256129,26.258018018018017,34.690000000000055,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.9803998719414,26.258018018018017,32.950000000000045,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.99043063132151,26.258018018018017,33.31,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.000461390701616,26.258018018018017,34.09000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.010492150081724,26.258018018018017,34.110000000000014,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.02052290946183,26.258018018018017,33.63000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.03055366884194,26.258018018018017,33.170000000000016,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.04058442822205,26.258018018018017,33.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.050615187602155,26.258018018018017,32.710000000000036,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.06064594698226,26.258018018018017,32.63000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.07067670636237,26.258018018018017,32.63000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.08070746574248,26.258018018018017,31.510000000000048,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.090738225122585,26.258018018018017,31.470000000000027,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.10076898450269,26.258018018018017,31.630000000000052,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.1107997438828,26.258018018018017,31.670000000000016,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.12083050326291,26.258018018018017,32.01000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.130861262643016,26.258018018018017,32.450000000000045,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.140892022023124,26.258018018018017,32.49000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.15092278140323,26.258018018018017,33.150000000000034,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.16095354078334,26.258018018018017,33.49000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.17098430016345,26.258018018018017,33.55000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.181015059543554,26.258018018018017,32.81,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.19104581892366,26.258018018018017,32.59000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.20107657830377,26.258018018018017,32.410000000000025,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.21110733768388,26.258018018018017,32.63000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.85,26.267027027027027,31.870000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.86003075938011,26.267027027027027,31.930000000000007,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.87006151876022,26.267027027027027,31.850000000000023,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.880092278140324,26.267027027027027,31.810000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.89012303752043,26.267027027027027,31.810000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.90015379690054,26.267027027027027,32.09000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.91018455628065,26.267027027027027,32.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.920215315660755,26.267027027027027,32.29000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.93024607504086,26.267027027027027,33.410000000000025,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.94027683442097,26.267027027027027,33.39000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.95030759380108,26.267027027027027,34.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.960338353181186,26.267027027027027,35.39000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.97036911256129,26.267027027027027,35.39000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.9803998719414,26.267027027027027,33.77000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.99043063132151,26.267027027027027,32.170000000000016,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.000461390701616,26.267027027027027,33.55000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.010492150081724,26.267027027027027,34.170000000000016,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.02052290946183,26.267027027027027,34.13000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.03055366884194,26.267027027027027,33.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.04058442822205,26.267027027027027,32.85000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.050615187602155,26.267027027027027,32.75000000000006,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.06064594698226,26.267027027027027,32.57000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.07067670636237,26.267027027027027,32.57000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.08070746574248,26.267027027027027,32.23000000000002,2025-10-29,2025-10-29,1761696000000
